gender,body_type,occasion,weather,style,top_color,bottom_color
male,oval,sports,autumn,sporty,grey,grey
female,triangle,date,autumn,casual,beige,khaki
male,endomorph,formal,rainy,traditional,white,charcoal
female,triangle,interview,autumn,formal,white,grey
male,ectomorph,interview,rainy,minimal,grey,black
female,pear,date,autumn,minimal,maroon,black
male,endomorph,date,rainy,romantic,cream,black
female,apple,travel,spring,minimal,white,blue
male,ectomorph,casual,summer,casual,beige,black
male,oval,interview,rainy,business,white,black
female,triangle,interview,summer,minimal,grey,black
female,oval,sports,spring,sporty,teal,black
female,oval,party,summer,traditional,pink,beige
female,hourglass,date,summer,minimal,white,grey
female,apple,casual,spring,casual,peach,black
female,inverted_triangle,date,rainy,casual,beige,navy
male,oval,travel,spring,bohemian,charcoal,navy
female,inverted_triangle,party,spring,traditional,gold,beige
female,pear,formal,rainy,formal,white,navy
male,oval,sports,winter,sporty,red,grey
female,triangle,casual,winter,vintage,brown,black
female,pear,formal,autumn,business,lightblue,black
male,endomorph,formal,winter,traditional,white,charcoal
female,rectangle,formal,autumn,traditional,white,black
male,mesomorph,formal,summer,formal,white,grey
female,inverted_triangle,travel,winter,bohemian,mustard,grey
female,pear,travel,autumn,sporty,beige,black
male,trapezoid,sports,rainy,sporty,orange,black
female,rectangle,sports,rainy,sporty,black,navy
female,oval,date,spring,casual,pink,grey
female,triangle,casual,winter,vintage,charcoal,white
male,endomorph,travel,autumn,casual,brown,black
female,rectangle,date,spring,chic,peach,lightblue
male,trapezoid,party,autumn,vintage,maroon,black
male,endomorph,date,autumn,chic,black,navy
male,endomorph,formal,summer,traditional,lightblue,navy
female,oval,travel,spring,bohemian,grey,beige
male,oval,interview,spring,business,charcoal,charcoal
female,pear,travel,spring,bohemian,purple,white
male,oval,travel,spring,casual,silver,grey
male,mesomorph,party,autumn,traditional,navy,blue
female,rectangle,interview,summer,formal,charcoal,charcoal
male,trapezoid,party,winter,chic,white,blue
female,oval,date,spring,vintage,peach,khaki
female,rectangle,party,autumn,street,silver,black
male,oval,interview,autumn,formal,charcoal,charcoal
male,endomorph,interview,summer,minimal,cream,black
male,endomorph,interview,spring,minimal,white,grey
female,pear,casual,autumn,vintage,darkgreen,black
male,trapezoid,interview,summer,formal,black,black
male,oval,sports,summer,sporty,pink,navy
male,trapezoid,sports,autumn,sporty,gold,navy
male,endomorph,date,winter,romantic,white,grey
male,oval,travel,winter,minimal,brown,lightblue
male,oval,sports,autumn,sporty,pink,navy
female,oval,casual,summer,minimal,charcoal,black
female,oval,sports,rainy,sporty,black,black
female,hourglass,casual,summer,street,teal,khaki
male,ectomorph,sports,spring,sporty,charcoal,black
female,inverted_triangle,date,rainy,minimal,black,black
female,triangle,formal,autumn,traditional,black,black
female,triangle,interview,winter,business,white,black
female,rectangle,date,winter,romantic,brown,grey
male,endomorph,casual,winter,bohemian,charcoal,black
male,oval,interview,rainy,minimal,white,charcoal
male,endomorph,travel,winter,sporty,mustard,black
male,trapezoid,date,spring,minimal,charcoal,lightblue
female,hourglass,travel,spring,bohemian,purple,black
female,inverted_triangle,formal,winter,business,grey,grey
male,trapezoid,formal,rainy,traditional,navy,black
male,trapezoid,travel,summer,bohemian,orange,lightblue
female,rectangle,sports,rainy,sporty,navy,grey
male,mesomorph,sports,spring,sporty,pink,black
male,mesomorph,party,autumn,street,black,grey
male,endomorph,interview,winter,minimal,white,navy
male,mesomorph,sports,spring,sporty,teal,grey
female,pear,formal,winter,business,white,black
male,oval,date,autumn,romantic,darkgreen,lightblue
male,trapezoid,interview,spring,minimal,navy,black
male,endomorph,sports,rainy,sporty,grey,grey
female,apple,party,rainy,vintage,silver,white
male,mesomorph,travel,rainy,sporty,cream,khaki
male,ectomorph,sports,rainy,sporty,white,navy
male,oval,sports,summer,sporty,red,black
male,trapezoid,date,winter,chic,black,grey
male,trapezoid,party,spring,street,black,grey
female,oval,date,summer,minimal,lavender,navy
female,apple,casual,rainy,street,beige,navy
male,oval,party,autumn,street,white,grey
male,ectomorph,sports,winter,sporty,black,navy
female,inverted_triangle,sports,rainy,sporty,gold,navy
female,hourglass,interview,spring,business,grey,grey
female,inverted_triangle,interview,autumn,minimal,white,grey
female,pear,interview,summer,business,grey,grey
female,rectangle,interview,spring,business,lightblue,navy
female,triangle,interview,summer,business,white,charcoal
female,inverted_triangle,formal,summer,traditional,lightblue,grey
male,mesomorph,date,spring,vintage,beige,black
male,trapezoid,casual,spring,bohemian,orange,navy
male,oval,travel,summer,minimal,orange,khaki
female,triangle,travel,spring,casual,beige,khaki
male,ectomorph,interview,summer,business,cream,navy
male,mesomorph,date,rainy,vintage,black,blue
female,pear,travel,summer,casual,cream,khaki
female,oval,party,winter,traditional,red,beige
male,oval,formal,winter,formal,beige,grey
male,endomorph,party,autumn,vintage,maroon,grey
female,apple,date,winter,vintage,black,khaki
male,mesomorph,travel,summer,bohemian,red,black
male,mesomorph,casual,winter,casual,beige,black
male,endomorph,date,autumn,chic,black,lightblue
male,oval,formal,autumn,business,beige,navy
female,inverted_triangle,casual,winter,street,navy,grey
male,mesomorph,party,autumn,glam,maroon,blue
male,mesomorph,sports,rainy,sporty,charcoal,black
female,triangle,date,autumn,minimal,brown,grey
female,pear,casual,summer,street,black,grey
female,rectangle,formal,autumn,business,white,black
male,trapezoid,formal,summer,business,cream,grey
female,rectangle,interview,spring,formal,grey,grey
male,trapezoid,interview,autumn,formal,charcoal,charcoal
male,endomorph,sports,spring,sporty,gold,navy
male,trapezoid,sports,winter,sporty,purple,grey
male,mesomorph,travel,rainy,minimal,beige,khaki
female,pear,formal,rainy,traditional,white,navy
female,pear,casual,autumn,casual,rust,blue
male,oval,casual,spring,minimal,purple,white
female,inverted_triangle,casual,spring,bohemian,pink,charcoal
female,inverted_triangle,party,spring,glam,yellow,white
female,hourglass,formal,rainy,formal,white,black
female,inverted_triangle,formal,rainy,traditional,navy,black
male,ectomorph,party,spring,glam,black,blue
male,trapezoid,date,spring,casual,white,black
male,oval,party,spring,chic,navy,grey
male,trapezoid,date,spring,minimal,charcoal,black
female,rectangle,sports,summer,sporty,white,navy
male,oval,casual,rainy,bohemian,charcoal,lightblue
female,inverted_triangle,sports,winter,sporty,red,grey
female,apple,interview,winter,minimal,lightblue,grey
male,mesomorph,party,winter,vintage,maroon,blue
female,oval,sports,winter,sporty,silver,grey
male,oval,travel,spring,bohemian,lightblue,navy
female,inverted_triangle,interview,winter,business,white,charcoal
female,oval,date,winter,chic,mustard,khaki
male,endomorph,sports,rainy,sporty,gold,black
male,oval,casual,winter,vintage,cream,black
female,apple,sports,spring,sporty,orange,grey
male,ectomorph,casual,autumn,street,rust,charcoal
male,ectomorph,party,rainy,chic,black,blue
female,inverted_triangle,date,summer,vintage,silver,black
male,trapezoid,interview,summer,business,charcoal,charcoal
female,pear,travel,winter,casual,beige,grey
male,ectomorph,casual,rainy,street,rust,blue
male,ectomorph,interview,summer,minimal,cream,grey
male,mesomorph,travel,spring,minimal,peach,white
female,apple,formal,spring,traditional,lightblue,navy
male,oval,sports,summer,sporty,cream,black
male,endomorph,date,winter,chic,navy,khaki
female,triangle,interview,winter,formal,white,black
female,apple,sports,rainy,sporty,pink,navy
male,trapezoid,party,spring,vintage,maroon,blue
male,oval,sports,winter,sporty,navy,black
female,triangle,formal,autumn,formal,navy,navy
male,mesomorph,date,spring,minimal,teal,khaki
male,oval,formal,autumn,traditional,white,black
male,mesomorph,party,rainy,traditional,black,black
female,apple,date,autumn,chic,darkgreen,lightblue
female,inverted_triangle,date,spring,chic,beige,grey
male,mesomorph,sports,summer,sporty,black,black
male,oval,sports,winter,sporty,grey,black
female,hourglass,casual,autumn,bohemian,charcoal,black
female,triangle,sports,autumn,sporty,navy,navy
male,ectomorph,party,winter,chic,black,blue
male,endomorph,date,summer,vintage,lavender,white
male,endomorph,party,summer,street,black,blue
female,inverted_triangle,sports,summer,sporty,red,navy
male,ectomorph,party,spring,vintage,navy,black
female,triangle,party,rainy,vintage,teal,white
female,rectangle,formal,rainy,formal,navy,navy
male,ectomorph,formal,autumn,traditional,navy,black
female,rectangle,formal,rainy,traditional,white,charcoal
female,triangle,casual,winter,minimal,black,grey
male,trapezoid,date,winter,romantic,navy,khaki
female,triangle,interview,rainy,minimal,white,navy
female,apple,formal,summer,formal,white,black
male,endomorph,interview,autumn,business,white,navy
female,apple,interview,autumn,minimal,white,charcoal
female,inverted_triangle,date,summer,chic,cream,grey
female,triangle,interview,spring,minimal,black,black
female,hourglass,sports,autumn,sporty,cream,navy
male,mesomorph,date,rainy,minimal,charcoal,black
male,ectomorph,sports,rainy,sporty,yellow,grey
male,mesomorph,sports,rainy,sporty,black,grey
male,oval,travel,autumn,minimal,navy,khaki
female,rectangle,party,rainy,vintage,purple,beige
female,oval,travel,rainy,minimal,mustard,black
female,triangle,casual,winter,casual,white,black
female,hourglass,travel,rainy,bohemian,cream,white
male,oval,date,rainy,minimal,rust,black
male,oval,travel,spring,bohemian,teal,navy
male,trapezoid,date,autumn,casual,cream,white
female,pear,casual,autumn,vintage,cream,blue
female,inverted_triangle,party,winter,vintage,teal,white
female,apple,sports,summer,sporty,orange,black
male,mesomorph,interview,summer,formal,lightblue,black
male,ectomorph,travel,winter,sporty,black,black
female,inverted_triangle,formal,spring,formal,white,black
male,oval,party,winter,glam,maroon,grey
male,trapezoid,interview,summer,business,white,navy
male,mesomorph,date,autumn,vintage,brown,lightblue
female,rectangle,interview,spring,formal,white,grey
female,inverted_triangle,formal,winter,formal,beige,grey
female,triangle,travel,spring,sporty,pink,grey
female,triangle,interview,spring,minimal,grey,black
female,triangle,casual,autumn,vintage,black,khaki
female,apple,party,autumn,street,yellow,white
female,inverted_triangle,formal,winter,traditional,white,grey
female,rectangle,formal,spring,traditional,grey,black
male,oval,formal,rainy,formal,black,black
male,trapezoid,casual,winter,street,navy,black
male,ectomorph,casual,rainy,street,charcoal,lightblue
male,endomorph,casual,summer,casual,white,khaki
female,inverted_triangle,interview,rainy,formal,white,black
male,ectomorph,casual,winter,vintage,beige,black
male,endomorph,date,spring,vintage,charcoal,khaki
male,endomorph,formal,spring,formal,cream,navy
male,trapezoid,sports,autumn,sporty,beige,navy
male,ectomorph,interview,spring,business,white,black
female,pear,party,spring,glam,silver,white
female,rectangle,formal,spring,traditional,navy,black
female,pear,party,summer,traditional,gold,black
female,oval,formal,summer,formal,white,navy
male,endomorph,formal,autumn,traditional,lightblue,black
male,mesomorph,sports,summer,sporty,white,navy
female,hourglass,date,autumn,vintage,brown,grey
male,endomorph,travel,autumn,sporty,black,grey
female,oval,sports,spring,sporty,purple,black
female,inverted_triangle,interview,rainy,minimal,white,black
female,apple,sports,spring,sporty,beige,black
female,inverted_triangle,sports,winter,sporty,teal,navy
male,trapezoid,formal,summer,traditional,charcoal,black
female,hourglass,date,summer,romantic,navy,khaki
female,rectangle,formal,summer,business,grey,grey
female,rectangle,casual,autumn,street,mustard,blue
female,hourglass,formal,summer,traditional,white,charcoal
female,rectangle,travel,rainy,sporty,charcoal,grey
male,mesomorph,travel,rainy,minimal,grey,lightblue
male,endomorph,sports,autumn,sporty,cream,navy
male,trapezoid,casual,autumn,bohemian,cream,blue
female,pear,sports,winter,sporty,beige,grey
female,pear,date,rainy,vintage,mustard,charcoal
male,trapezoid,casual,autumn,street,navy,lightblue
male,endomorph,travel,summer,casual,white,beige
male,trapezoid,casual,winter,casual,beige,black
